"Refs","Value","Footprint","Qty","DNP"
"BZ1","ACTIVE","Buzzer_Beeper:Buzzer_12x9.5RM7.6","1",""
"C1","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C2","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C3","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"CN_AD?","ANALOG","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"CN_DIG_H?","DIGITAL_H","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","1",""
"CN_DIG_L?","DIGITAL_L","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"CN_PWR?","POWER","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"D1","GREEN","LED_THT:LED_D5.0mm","1",""
"D2","YELLOW","LED_THT:LED_D5.0mm","1",""
"JP1","BZ_EN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J_I2C?","I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J_PROTO1","PROTO","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","1",""
"J_PROTO2","PROTO","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","1",""
"J_PROTO3","PROTO","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","1",""
"J_PROTO4","PROTO","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","1",""
"J_SPI?","SPI","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"R1","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"S1","RESET","Button_Switch_THT:SW_PUSH_6mm_H5mm","1",""
